item_id,name,category,price,short_description,designer,depth,height,width,other_colors,sellable_online,rating,reviews_count,content
IKEA00240,TROFAST,Desk,14253,Simple design with clean Scandinavian lines.,Ola Wihlborg,64,211,186,"Blue, Black, Grey",True,4.6,421,Product Name: TROFAST. Category: Desk. Price: 14253. Description: Simple design with clean Scandinavian lines.. Designer: Ola Wihlborg. Dimensions: 186cm width x 64cm depth x 211cm height.
IKEA00241,HEMNES,Sofa,37859,Durable furniture with practical storage space.,Ola Wihlborg,55,182,167,"Brown, Green, Beige",True,3.6,141,Product Name: HEMNES. Category: Sofa. Price: 37859. Description: Durable furniture with practical storage space.. Designer: Ola Wihlborg. Dimensions: 167cm width x 55cm depth x 182cm height.
IKEA00242,IVAR,Cabinet,45017,Simple design with clean Scandinavian lines.,IKEA Design Team,37,135,45,"Grey, Blue, Beige",True,4.4,72,Product Name: IVAR. Category: Cabinet. Price: 45017. Description: Simple design with clean Scandinavian lines.. Designer: IKEA Design Team. Dimensions: 45cm width x 37cm depth x 135cm height.
IKEA00243,HEMNES,Table,47120,Durable furniture with practical storage space.,Jon Karlsson,70,155,66,"Grey, Beige, Oak",False,3.9,329,Product Name: HEMNES. Category: Table. Price: 47120. Description: Durable furniture with practical storage space.. Designer: Jon Karlsson. Dimensions: 66cm width x 70cm depth x 155cm height.
IKEA00244,TROFAST,Chair,26900,Affordable and stylish furniture for everyday use.,Henrik Preutz,67,146,154,"Beige, Grey, White",True,4.5,239,Product Name: TROFAST. Category: Chair. Price: 26900. Description: Affordable and stylish furniture for everyday use.. Designer: Henrik Preutz. Dimensions: 154cm width x 67cm depth x 146cm height.
IKEA00245,ALEX,Dining Furniture,46196,Durable furniture with practical storage space.,IKEA Design Team,88,131,85,"Blue, Green, Black",False,3.5,429,Product Name: ALEX. Category: Dining Furniture. Price: 46196. Description: Durable furniture with practical storage space.. Designer: IKEA Design Team. Dimensions: 85cm width x 88cm depth x 131cm height.
IKEA00246,LACK,Wardrobe,36367,Affordable and stylish furniture for everyday use.,Jon Karlsson,92,154,117,"White, Green, Blue",False,3.0,480,Product Name: LACK. Category: Wardrobe. Price: 36367. Description: Affordable and stylish furniture for everyday use.. Designer: Jon Karlsson. Dimensions: 117cm width x 92cm depth x 154cm height.
IKEA00247,IVAR,Table,29419,Minimalist design suitable for modern homes.,IKEA Design Team,74,81,63,"Grey, Black, Brown",True,4.3,133,Product Name: IVAR. Category: Table. Price: 29419. Description: Minimalist design suitable for modern homes.. Designer: IKEA Design Team. Dimensions: 63cm width x 74cm depth x 81cm height.
IKEA00248,BILLY,Wardrobe,44048,Space-saving furniture with easy assembly.,Jon Karlsson,26,131,190,"Grey, Beige, Blue",True,3.9,51,Product Name: BILLY. Category: Wardrobe. Price: 44048. Description: Space-saving furniture with easy assembly.. Designer: Jon Karlsson. Dimensions: 190cm width x 26cm depth x 131cm height.
IKEA00249,BRIMNES,Chair,570,Compact furniture suitable for small apartments.,Monika Mulder,29,63,181,"Oak, Grey, Beige",False,3.0,361,Product Name: BRIMNES. Category: Chair. Price: 570. Description: Compact furniture suitable for small apartments.. Designer: Monika Mulder. Dimensions: 181cm width x 29cm depth x 63cm height.
IKEA00250,BESTA,Chair,28175,Space-saving furniture with easy assembly.,Jon Karlsson,81,48,88,"Blue, White, Beige",True,3.2,193,Product Name: BESTA. Category: Chair. Price: 28175. Description: Space-saving furniture with easy assembly.. Designer: Jon Karlsson. Dimensions: 88cm width x 81cm depth x 48cm height.
IKEA00251,LACK,Table,25581,Simple design with clean Scandinavian lines.,Jon Karlsson,38,47,165,"White, Grey, Beige",True,3.9,374,Product Name: LACK. Category: Table. Price: 25581. Description: Simple design with clean Scandinavian lines.. Designer: Jon Karlsson. Dimensions: 165cm width x 38cm depth x 47cm height.
IKEA00252,HEMNES,Dining Furniture,49537,Compact furniture suitable for small apartments.,Monika Mulder,98,205,143,"Oak, White, Blue",True,4.5,306,Product Name: HEMNES. Category: Dining Furniture. Price: 49537. Description: Compact furniture suitable for small apartments.. Designer: Monika Mulder. Dimensions: 143cm width x 98cm depth x 205cm height.
IKEA00253,BRIMNES,Bookshelf,23537,Minimalist design suitable for modern homes.,Henrik Preutz,37,93,100,"Black, Green, Grey",True,4.6,358,Product Name: BRIMNES. Category: Bookshelf. Price: 23537. Description: Minimalist design suitable for modern homes.. Designer: Henrik Preutz. Dimensions: 100cm width x 37cm depth x 93cm height.
IKEA00254,KALLAX,Dining Furniture,20267,Compact furniture suitable for small apartments.,Ola Wihlborg,97,160,78,"Blue, Brown, Beige",True,4.6,411,Product Name: KALLAX. Category: Dining Furniture. Price: 20267. Description: Compact furniture suitable for small apartments.. Designer: Ola Wihlborg. Dimensions: 78cm width x 97cm depth x 160cm height.
IKEA00255,HEMNES,Storage,25788,Modern Scandinavian furniture with a simple and functional design.,Jon Karlsson,83,193,182,"Black, Grey, White",True,4.9,72,Product Name: HEMNES. Category: Storage. Price: 25788. Description: Modern Scandinavian furniture with a simple and functional design.. Designer: Jon Karlsson. Dimensions: 182cm width x 83cm depth x 193cm height.
IKEA00256,PAX,TV Unit,28080,Durable furniture with practical storage space.,Ola Wihlborg,42,150,48,"White, Grey, Green",True,3.5,25,Product Name: PAX. Category: TV Unit. Price: 28080. Description: Durable furniture with practical storage space.. Designer: Ola Wihlborg. Dimensions: 48cm width x 42cm depth x 150cm height.
IKEA00257,KALLAX,Bookshelf,33700,Durable furniture with practical storage space.,Ola Wihlborg,73,138,132,"Black, Beige, Grey",True,3.6,163,Product Name: KALLAX. Category: Bookshelf. Price: 33700. Description: Durable furniture with practical storage space.. Designer: Ola Wihlborg. Dimensions: 132cm width x 73cm depth x 138cm height.
IKEA00258,BILLY,Cabinet,13815,Simple design with clean Scandinavian lines.,Jon Karlsson,88,113,130,"Black, Brown, Beige",False,4.5,438,Product Name: BILLY. Category: Cabinet. Price: 13815. Description: Simple design with clean Scandinavian lines.. Designer: Jon Karlsson. Dimensions: 130cm width x 88cm depth x 113cm height.
IKEA00259,HEMNES,Sofa,16521,Modern Scandinavian furniture with a simple and functional design.,Monika Mulder,34,146,186,"White, Brown, Beige",True,3.2,367,Product Name: HEMNES. Category: Sofa. Price: 16521. Description: Modern Scandinavian furniture with a simple and functional design.. Designer: Monika Mulder. Dimensions: 186cm width x 34cm depth x 146cm height.
IKEA00260,MALM,Sofa,11235,Minimalist design suitable for modern homes.,Henrik Preutz,86,162,96,"Brown, Green, Black",True,4.5,65,Product Name: MALM. Category: Sofa. Price: 11235. Description: Minimalist design suitable for modern homes.. Designer: Henrik Preutz. Dimensions: 96cm width x 86cm depth x 162cm height.
IKEA00261,TROFAST,Sofa,22454,Simple design with clean Scandinavian lines.,Monika Mulder,54,164,46,"Grey, Beige, Green",True,4.0,266,Product Name: TROFAST. Category: Sofa. Price: 22454. Description: Simple design with clean Scandinavian lines.. Designer: Monika Mulder. Dimensions: 46cm width x 54cm depth x 164cm height.
IKEA00262,BESTA,Sofa,33241,Simple design with clean Scandinavian lines.,Ola Wihlborg,41,124,70,"Grey, Blue, White",True,3.5,265,Product Name: BESTA. Category: Sofa. Price: 33241. Description: Simple design with clean Scandinavian lines.. Designer: Ola Wihlborg. Dimensions: 70cm width x 41cm depth x 124cm height.
IKEA00263,KALLAX,Sofa,1304,Compact furniture suitable for small apartments.,IKEA Design Team,80,123,128,"Brown, Black, White",False,3.4,132,Product Name: KALLAX. Category: Sofa. Price: 1304. Description: Compact furniture suitable for small apartments.. Designer: IKEA Design Team. Dimensions: 128cm width x 80cm depth x 123cm height.
IKEA00264,PAX,Wardrobe,18276,Simple design with clean Scandinavian lines.,IKEA Design Team,93,125,60,"White, Black, Blue",True,4.9,40,Product Name: PAX. Category: Wardrobe. Price: 18276. Description: Simple design with clean Scandinavian lines.. Designer: IKEA Design Team. Dimensions: 60cm width x 93cm depth x 125cm height.
IKEA00265,EKET,Bed,20860,Durable furniture with practical storage space.,IKEA Design Team,90,146,32,"Beige, Black, Brown",True,4.5,129,Product Name: EKET. Category: Bed. Price: 20860. Description: Durable furniture with practical storage space.. Designer: IKEA Design Team. Dimensions: 32cm width x 90cm depth x 146cm height.
IKEA00266,EKET,Wardrobe,39276,Minimalist design suitable for modern homes.,Jon Karlsson,89,92,68,"White, Oak, Green",True,4.1,330,Product Name: EKET. Category: Wardrobe. Price: 39276. Description: Minimalist design suitable for modern homes.. Designer: Jon Karlsson. Dimensions: 68cm width x 89cm depth x 92cm height.
IKEA00267,IVAR,Sofa,22454,Modern Scandinavian furniture with a simple and functional design.,Monika Mulder,59,56,82,"Oak, Green, Blue",True,4.9,77,Product Name: IVAR. Category: Sofa. Price: 22454. Description: Modern Scandinavian furniture with a simple and functional design.. Designer: Monika Mulder. Dimensions: 82cm width x 59cm depth x 56cm height.
IKEA00268,BRIMNES,Bed,6595,Modern Scandinavian furniture with a simple and functional design.,Jon Karlsson,86,135,125,"Green, Beige, White",True,4.0,331,Product Name: BRIMNES. Category: Bed. Price: 6595. Description: Modern Scandinavian furniture with a simple and functional design.. Designer: Jon Karlsson. Dimensions: 125cm width x 86cm depth x 135cm height.
IKEA00269,IVAR,Bookshelf,5403,Affordable and stylish furniture for everyday use.,Ola Wihlborg,27,141,199,"Brown, Black, Green",True,4.7,479,Product Name: IVAR. Category: Bookshelf. Price: 5403. Description: Affordable and stylish furniture for everyday use.. Designer: Ola Wihlborg. Dimensions: 199cm width x 27cm depth x 141cm height.
IKEA00270,TROFAST,Bookshelf,46421,Simple design with clean Scandinavian lines.,Henrik Preutz,60,145,99,"Oak, White, Black",True,4.6,304,Product Name: TROFAST. Category: Bookshelf. Price: 46421. Description: Simple design with clean Scandinavian lines.. Designer: Henrik Preutz. Dimensions: 99cm width x 60cm depth x 145cm height.
IKEA00271,BILLY,Table,7423,Compact furniture suitable for small apartments.,Monika Mulder,79,110,134,"Black, Grey, Brown",True,3.9,242,Product Name: BILLY. Category: Table. Price: 7423. Description: Compact furniture suitable for small apartments.. Designer: Monika Mulder. Dimensions: 134cm width x 79cm depth x 110cm height.
IKEA00272,LACK,Chair,6424,Compact furniture suitable for small apartments.,Henrik Preutz,97,40,85,"Beige, Black, White",True,4.9,207,Product Name: LACK. Category: Chair. Price: 6424. Description: Compact furniture suitable for small apartments.. Designer: Henrik Preutz. Dimensions: 85cm width x 97cm depth x 40cm height.
IKEA00273,MICKE,Sofa,44878,Durable furniture with practical storage space.,Henrik Preutz,42,37,133,"Green, Grey, Beige",True,3.2,57,Product Name: MICKE. Category: Sofa. Price: 44878. Description: Durable furniture with practical storage space.. Designer: Henrik Preutz. Dimensions: 133cm width x 42cm depth x 37cm height.
IKEA00274,TROFAST,Table,8458,Modern Scandinavian furniture with a simple and functional design.,IKEA Design Team,48,63,80,"Blue, Brown, Beige",True,4.2,137,Product Name: TROFAST. Category: Table. Price: 8458. Description: Modern Scandinavian furniture with a simple and functional design.. Designer: IKEA Design Team. Dimensions: 80cm width x 48cm depth x 63cm height.
IKEA00275,IVAR,Chair,1927,Modern Scandinavian furniture with a simple and functional design.,Jon Karlsson,76,62,53,"Beige, White, Blue",False,3.1,478,Product Name: IVAR. Category: Chair. Price: 1927. Description: Modern Scandinavian furniture with a simple and functional design.. Designer: Jon Karlsson. Dimensions: 53cm width x 76cm depth x 62cm height.
IKEA00276,POANG,Bookshelf,47975,Minimalist design suitable for modern homes.,Monika Mulder,23,127,139,"Brown, Green, Black",True,3.5,233,Product Name: POANG. Category: Bookshelf. Price: 47975. Description: Minimalist design suitable for modern homes.. Designer: Monika Mulder. Dimensions: 139cm width x 23cm depth x 127cm height.
IKEA00277,MALM,Sofa,40745,Affordable and stylish furniture for everyday use.,Ola Wihlborg,51,195,105,"Green, Oak, Grey",False,3.1,148,Product Name: MALM. Category: Sofa. Price: 40745. Description: Affordable and stylish furniture for everyday use.. Designer: Ola Wihlborg. Dimensions: 105cm width x 51cm depth x 195cm height.
IKEA00278,PAX,Table,27973,Compact furniture suitable for small apartments.,Ola Wihlborg,51,191,169,"White, Oak, Beige",True,4.0,405,Product Name: PAX. Category: Table. Price: 27973. Description: Compact furniture suitable for small apartments.. Designer: Ola Wihlborg. Dimensions: 169cm width x 51cm depth x 191cm height.
IKEA00279,EKET,Wardrobe,37569,Affordable and stylish furniture for everyday use.,Henrik Preutz,69,99,76,"White, Brown, Grey",True,3.1,420,Product Name: EKET. Category: Wardrobe. Price: 37569. Description: Affordable and stylish furniture for everyday use.. Designer: Henrik Preutz. Dimensions: 76cm width x 69cm depth x 99cm height.
IKEA00280,TROFAST,Bed,4338,Simple design with clean Scandinavian lines.,Monika Mulder,87,121,179,"Oak, Black, White",True,4.3,141,Product Name: TROFAST. Category: Bed. Price: 4338. Description: Simple design with clean Scandinavian lines.. Designer: Monika Mulder. Dimensions: 179cm width x 87cm depth x 121cm height.
IKEA00281,MICKE,Sofa,14878,Affordable and stylish furniture for everyday use.,Monika Mulder,65,74,75,"Oak, Grey, Brown",True,4.8,19,Product Name: MICKE. Category: Sofa. Price: 14878. Description: Affordable and stylish furniture for everyday use.. Designer: Monika Mulder. Dimensions: 75cm width x 65cm depth x 74cm height.
IKEA00282,BRIMNES,Wardrobe,37700,Affordable and stylish furniture for everyday use.,Jon Karlsson,92,78,156,"Grey, Black, Oak",True,3.2,124,Product Name: BRIMNES. Category: Wardrobe. Price: 37700. Description: Affordable and stylish furniture for everyday use.. Designer: Jon Karlsson. Dimensions: 156cm width x 92cm depth x 78cm height.
IKEA00283,POANG,Desk,1805,Affordable and stylish furniture for everyday use.,Monika Mulder,20,114,187,"Oak, Blue, Black",True,4.4,475,Product Name: POANG. Category: Desk. Price: 1805. Description: Affordable and stylish furniture for everyday use.. Designer: Monika Mulder. Dimensions: 187cm width x 20cm depth x 114cm height.
IKEA00284,TROFAST,Wardrobe,4402,Modern Scandinavian furniture with a simple and functional design.,Jon Karlsson,95,210,66,"Black, Blue, Grey",True,4.9,196,Product Name: TROFAST. Category: Wardrobe. Price: 4402. Description: Modern Scandinavian furniture with a simple and functional design.. Designer: Jon Karlsson. Dimensions: 66cm width x 95cm depth x 210cm height.
IKEA00285,BRIMNES,Dining Furniture,26424,Affordable and stylish furniture for everyday use.,IKEA Design Team,63,107,112,"Brown, Black, Beige",False,4.6,496,Product Name: BRIMNES. Category: Dining Furniture. Price: 26424. Description: Affordable and stylish furniture for everyday use.. Designer: IKEA Design Team. Dimensions: 112cm width x 63cm depth x 107cm height.
IKEA00286,EKET,Dining Furniture,21292,Compact furniture suitable for small apartments.,Ola Wihlborg,98,121,87,"Brown, Oak, Green",True,3.3,378,Product Name: EKET. Category: Dining Furniture. Price: 21292. Description: Compact furniture suitable for small apartments.. Designer: Ola Wihlborg. Dimensions: 87cm width x 98cm depth x 121cm height.
IKEA00287,KALLAX,TV Unit,26162,Simple design with clean Scandinavian lines.,Ola Wihlborg,24,76,184,"Beige, Blue, Grey",True,4.3,58,Product Name: KALLAX. Category: TV Unit. Price: 26162. Description: Simple design with clean Scandinavian lines.. Designer: Ola Wihlborg. Dimensions: 184cm width x 24cm depth x 76cm height.
IKEA00288,EKET,Table,22202,Space-saving furniture with easy assembly.,IKEA Design Team,50,118,111,"Brown, Beige, White",True,3.9,140,Product Name: EKET. Category: Table. Price: 22202. Description: Space-saving furniture with easy assembly.. Designer: IKEA Design Team. Dimensions: 111cm width x 50cm depth x 118cm height.
IKEA00289,HEMNES,Desk,45926,Modern Scandinavian furniture with a simple and functional design.,Henrik Preutz,52,57,30,"White, Oak, Blue",False,4.9,457,Product Name: HEMNES. Category: Desk. Price: 45926. Description: Modern Scandinavian furniture with a simple and functional design.. Designer: Henrik Preutz. Dimensions: 30cm width x 52cm depth x 57cm height.
IKEA00290,PAX,Storage,25318,Durable furniture with practical storage space.,Ola Wihlborg,68,55,152,"Oak, Black, Green",True,4.6,22,Product Name: PAX. Category: Storage. Price: 25318. Description: Durable furniture with practical storage space.. Designer: Ola Wihlborg. Dimensions: 152cm width x 68cm depth x 55cm height.
IKEA00291,LACK,Sofa,21386,Durable furniture with practical storage space.,IKEA Design Team,29,117,73,"Blue, Black, Beige",True,4.1,464,Product Name: LACK. Category: Sofa. Price: 21386. Description: Durable furniture with practical storage space.. Designer: IKEA Design Team. Dimensions: 73cm width x 29cm depth x 117cm height.
IKEA00292,BILLY,Wardrobe,39429,Affordable and stylish furniture for everyday use.,Monika Mulder,23,140,197,"Brown, Grey, Oak",True,3.1,174,Product Name: BILLY. Category: Wardrobe. Price: 39429. Description: Affordable and stylish furniture for everyday use.. Designer: Monika Mulder. Dimensions: 197cm width x 23cm depth x 140cm height.
IKEA00293,HEMNES,Desk,27321,Space-saving furniture with easy assembly.,Ola Wihlborg,89,97,199,"Grey, Brown, Black",True,3.1,297,Product Name: HEMNES. Category: Desk. Price: 27321. Description: Space-saving furniture with easy assembly.. Designer: Ola Wihlborg. Dimensions: 199cm width x 89cm depth x 97cm height.
IKEA00294,MICKE,Storage,10564,Modern Scandinavian furniture with a simple and functional design.,Henrik Preutz,20,139,52,"Grey, Blue, Beige",False,3.4,18,Product Name: MICKE. Category: Storage. Price: 10564. Description: Modern Scandinavian furniture with a simple and functional design.. Designer: Henrik Preutz. Dimensions: 52cm width x 20cm depth x 139cm height.
IKEA00295,HEMNES,Table,42323,Durable furniture with practical storage space.,IKEA Design Team,80,59,108,"Blue, Oak, Green",True,3.2,283,Product Name: HEMNES. Category: Table. Price: 42323. Description: Durable furniture with practical storage space.. Designer: IKEA Design Team. Dimensions: 108cm width x 80cm depth x 59cm height.
IKEA00296,PAX,Table,24814,Minimalist design suitable for modern homes.,Henrik Preutz,43,144,41,"Grey, Oak, Blue",True,3.5,142,Product Name: PAX. Category: Table. Price: 24814. Description: Minimalist design suitable for modern homes.. Designer: Henrik Preutz. Dimensions: 41cm width x 43cm depth x 144cm height.
IKEA00297,POANG,Sofa,10403,Simple design with clean Scandinavian lines.,IKEA Design Team,30,201,118,"Blue, Green, Grey",True,4.1,435,Product Name: POANG. Category: Sofa. Price: 10403. Description: Simple design with clean Scandinavian lines.. Designer: IKEA Design Team. Dimensions: 118cm width x 30cm depth x 201cm height.
IKEA00298,PAX,Cabinet,27934,Affordable and stylish furniture for everyday use.,Monika Mulder,93,90,151,"Grey, White, Oak",True,4.0,466,Product Name: PAX. Category: Cabinet. Price: 27934. Description: Affordable and stylish furniture for everyday use.. Designer: Monika Mulder. Dimensions: 151cm width x 93cm depth x 90cm height.
IKEA00299,MICKE,TV Unit,44901,Affordable and stylish furniture for everyday use.,Jon Karlsson,35,144,74,"Brown, Black, Blue",True,3.1,45,Product Name: MICKE. Category: TV Unit. Price: 44901. Description: Affordable and stylish furniture for everyday use.. Designer: Jon Karlsson. Dimensions: 74cm width x 35cm depth x 144cm height.
IKEA00300,ALEX,Bookshelf,13731,Simple design with clean Scandinavian lines.,Jon Karlsson,96,96,111,"Black, White, Oak",False,4.1,443,Product Name: ALEX. Category: Bookshelf. Price: 13731. Description: Simple design with clean Scandinavian lines.. Designer: Jon Karlsson. Dimensions: 111cm width x 96cm depth x 96cm height.
IKEA00301,LACK,Cabinet,30524,Simple design with clean Scandinavian lines.,IKEA Design Team,99,180,163,"Blue, White, Oak",True,3.3,306,Product Name: LACK. Category: Cabinet. Price: 30524. Description: Simple design with clean Scandinavian lines.. Designer: IKEA Design Team. Dimensions: 163cm width x 99cm depth x 180cm height.
IKEA00302,POANG,Chair,7421,Affordable and stylish furniture for everyday use.,IKEA Design Team,56,167,118,"Blue, Brown, Oak",False,4.1,247,Product Name: POANG. Category: Chair. Price: 7421. Description: Affordable and stylish furniture for everyday use.. Designer: IKEA Design Team. Dimensions: 118cm width x 56cm depth x 167cm height.
IKEA00303,KALLAX,Table,18548,Minimalist design suitable for modern homes.,Jon Karlsson,99,185,132,"White, Oak, Brown",True,3.1,248,Product Name: KALLAX. Category: Table. Price: 18548. Description: Minimalist design suitable for modern homes.. Designer: Jon Karlsson. Dimensions: 132cm width x 99cm depth x 185cm height.
IKEA00304,LACK,Wardrobe,1824,Durable furniture with practical storage space.,Henrik Preutz,59,101,155,"Black, Blue, Green",True,3.6,385,Product Name: LACK. Category: Wardrobe. Price: 1824. Description: Durable furniture with practical storage space.. Designer: Henrik Preutz. Dimensions: 155cm width x 59cm depth x 101cm height.
IKEA00305,EKET,Wardrobe,18155,Space-saving furniture with easy assembly.,Monika Mulder,97,195,52,"Oak, Green, Black",False,4.5,393,Product Name: EKET. Category: Wardrobe. Price: 18155. Description: Space-saving furniture with easy assembly.. Designer: Monika Mulder. Dimensions: 52cm width x 97cm depth x 195cm height.
IKEA00306,MICKE,Wardrobe,4182,Affordable and stylish furniture for everyday use.,Jon Karlsson,28,109,159,"Blue, Black, Grey",True,3.3,453,Product Name: MICKE. Category: Wardrobe. Price: 4182. Description: Affordable and stylish furniture for everyday use.. Designer: Jon Karlsson. Dimensions: 159cm width x 28cm depth x 109cm height.
IKEA00307,IVAR,Desk,4275,Compact furniture suitable for small apartments.,IKEA Design Team,78,42,122,"Oak, Brown, Blue",False,4.0,330,Product Name: IVAR. Category: Desk. Price: 4275. Description: Compact furniture suitable for small apartments.. Designer: IKEA Design Team. Dimensions: 122cm width x 78cm depth x 42cm height.
IKEA00308,BILLY,Dining Furniture,2501,Compact furniture suitable for small apartments.,Henrik Preutz,82,182,144,"Brown, Blue, Oak",True,3.7,433,Product Name: BILLY. Category: Dining Furniture. Price: 2501. Description: Compact furniture suitable for small apartments.. Designer: Henrik Preutz. Dimensions: 144cm width x 82cm depth x 182cm height.
IKEA00309,LACK,Chair,19181,Modern Scandinavian furniture with a simple and functional design.,Monika Mulder,26,71,176,"Oak, Blue, Black",True,4.4,142,Product Name: LACK. Category: Chair. Price: 19181. Description: Modern Scandinavian furniture with a simple and functional design.. Designer: Monika Mulder. Dimensions: 176cm width x 26cm depth x 71cm height.
IKEA00310,ALEX,Bookshelf,34137,Modern Scandinavian furniture with a simple and functional design.,IKEA Design Team,80,63,195,"Brown, Grey, White",True,3.5,417,Product Name: ALEX. Category: Bookshelf. Price: 34137. Description: Modern Scandinavian furniture with a simple and functional design.. Designer: IKEA Design Team. Dimensions: 195cm width x 80cm depth x 63cm height.
IKEA00311,LACK,Dining Furniture,18546,Minimalist design suitable for modern homes.,Monika Mulder,64,147,94,"Oak, Green, Brown",False,4.2,8,Product Name: LACK. Category: Dining Furniture. Price: 18546. Description: Minimalist design suitable for modern homes.. Designer: Monika Mulder. Dimensions: 94cm width x 64cm depth x 147cm height.
IKEA00312,MICKE,Dining Furniture,25024,Affordable and stylish furniture for everyday use.,Ola Wihlborg,97,102,106,"Black, Oak, White",True,5.0,332,Product Name: MICKE. Category: Dining Furniture. Price: 25024. Description: Affordable and stylish furniture for everyday use.. Designer: Ola Wihlborg. Dimensions: 106cm width x 97cm depth x 102cm height.
IKEA00313,BESTA,Bed,17613,Space-saving furniture with easy assembly.,Henrik Preutz,44,68,162,"Oak, White, Grey",False,4.3,353,Product Name: BESTA. Category: Bed. Price: 17613. Description: Space-saving furniture with easy assembly.. Designer: Henrik Preutz. Dimensions: 162cm width x 44cm depth x 68cm height.
IKEA00314,MALM,Sofa,43451,Minimalist design suitable for modern homes.,Henrik Preutz,53,137,133,"Blue, Beige, White",True,3.7,370,Product Name: MALM. Category: Sofa. Price: 43451. Description: Minimalist design suitable for modern homes.. Designer: Henrik Preutz. Dimensions: 133cm width x 53cm depth x 137cm height.
IKEA00315,HEMNES,Dining Furniture,35536,Space-saving furniture with easy assembly.,Monika Mulder,65,159,106,"Brown, Blue, Beige",True,3.6,246,Product Name: HEMNES. Category: Dining Furniture. Price: 35536. Description: Space-saving furniture with easy assembly.. Designer: Monika Mulder. Dimensions: 106cm width x 65cm depth x 159cm height.
IKEA00316,MALM,Bed,48024,Simple design with clean Scandinavian lines.,Ola Wihlborg,43,204,115,"Black, Green, Brown",True,4.5,162,Product Name: MALM. Category: Bed. Price: 48024. Description: Simple design with clean Scandinavian lines.. Designer: Ola Wihlborg. Dimensions: 115cm width x 43cm depth x 204cm height.
IKEA00317,PAX,Wardrobe,24857,Durable furniture with practical storage space.,Ola Wihlborg,57,148,60,"Green, White, Beige",True,3.9,104,Product Name: PAX. Category: Wardrobe. Price: 24857. Description: Durable furniture with practical storage space.. Designer: Ola Wihlborg. Dimensions: 60cm width x 57cm depth x 148cm height.
IKEA00318,MICKE,Chair,45109,Minimalist design suitable for modern homes.,Ola Wihlborg,58,135,43,"Brown, Black, Blue",True,3.8,296,Product Name: MICKE. Category: Chair. Price: 45109. Description: Minimalist design suitable for modern homes.. Designer: Ola Wihlborg. Dimensions: 43cm width x 58cm depth x 135cm height.
IKEA00319,EKET,Table,21233,Simple design with clean Scandinavian lines.,Jon Karlsson,30,154,115,"Brown, Green, Beige",True,3.0,145,Product Name: EKET. Category: Table. Price: 21233. Description: Simple design with clean Scandinavian lines.. Designer: Jon Karlsson. Dimensions: 115cm width x 30cm depth x 154cm height.
IKEA00320,HEMNES,Table,38266,Simple design with clean Scandinavian lines.,Jon Karlsson,82,52,63,"Blue, Beige, Oak",False,3.9,249,Product Name: HEMNES. Category: Table. Price: 38266. Description: Simple design with clean Scandinavian lines.. Designer: Jon Karlsson. Dimensions: 63cm width x 82cm depth x 52cm height.
IKEA00321,PAX,Sofa,2971,Affordable and stylish furniture for everyday use.,Jon Karlsson,67,33,112,"Oak, White, Beige",True,4.3,132,Product Name: PAX. Category: Sofa. Price: 2971. Description: Affordable and stylish furniture for everyday use.. Designer: Jon Karlsson. Dimensions: 112cm width x 67cm depth x 33cm height.
IKEA00322,HEMNES,Wardrobe,20952,Compact furniture suitable for small apartments.,IKEA Design Team,69,158,180,"Grey, Black, White",True,3.6,153,Product Name: HEMNES. Category: Wardrobe. Price: 20952. Description: Compact furniture suitable for small apartments.. Designer: IKEA Design Team. Dimensions: 180cm width x 69cm depth x 158cm height.
IKEA00323,EKET,Cabinet,39582,Affordable and stylish furniture for everyday use.,Henrik Preutz,75,205,64,"Beige, Oak, Brown",True,3.3,469,Product Name: EKET. Category: Cabinet. Price: 39582. Description: Affordable and stylish furniture for everyday use.. Designer: Henrik Preutz. Dimensions: 64cm width x 75cm depth x 205cm height.
IKEA00324,TROFAST,Bookshelf,1752,Compact furniture suitable for small apartments.,Jon Karlsson,36,84,35,"Brown, White, Green",True,3.8,332,Product Name: TROFAST. Category: Bookshelf. Price: 1752. Description: Compact furniture suitable for small apartments.. Designer: Jon Karlsson. Dimensions: 35cm width x 36cm depth x 84cm height.
IKEA00325,LACK,Cabinet,41336,Modern Scandinavian furniture with a simple and functional design.,Ola Wihlborg,26,199,57,"White, Green, Beige",True,3.8,199,Product Name: LACK. Category: Cabinet. Price: 41336. Description: Modern Scandinavian furniture with a simple and functional design.. Designer: Ola Wihlborg. Dimensions: 57cm width x 26cm depth x 199cm height.
IKEA00326,BILLY,Cabinet,17062,Minimalist design suitable for modern homes.,Jon Karlsson,46,207,191,"White, Brown, Oak",True,4.3,143,Product Name: BILLY. Category: Cabinet. Price: 17062. Description: Minimalist design suitable for modern homes.. Designer: Jon Karlsson. Dimensions: 191cm width x 46cm depth x 207cm height.
IKEA00327,POANG,TV Unit,46421,Compact furniture suitable for small apartments.,Monika Mulder,33,160,188,"Black, Brown, White",True,4.0,316,Product Name: POANG. Category: TV Unit. Price: 46421. Description: Compact furniture suitable for small apartments.. Designer: Monika Mulder. Dimensions: 188cm width x 33cm depth x 160cm height.
IKEA00328,HEMNES,Bed,34783,Compact furniture suitable for small apartments.,Henrik Preutz,72,105,71,"White, Grey, Oak",True,4.4,251,Product Name: HEMNES. Category: Bed. Price: 34783. Description: Compact furniture suitable for small apartments.. Designer: Henrik Preutz. Dimensions: 71cm width x 72cm depth x 105cm height.
